id,SUBURB,BOX-CODE,STR-CODE,AREA
1,AALWYNFLEUR,,6670,RIVERSDALE
2,AANDRUS,,9301,BLOEMFONTEIN
3,ABAPHEHLI,4126,,DOONSIDE
4,ABBOTSDALE,,7300,MALMESBURY
5,ABBOTSFORD,,2192,JOHANNESBURG
6,ABBOTSFORD,5210,5241,EAST LONDON
7,ABBOTSPOORT,608,,POTGIETERSRUS
8,ABC,,6242,KWANOBUHLE
9,ABEL,884,,POLOKWANE
10,ABERDEEN,6270,6270,ABERDEEN
11,ABERDEEN TSP,,6270,ABERDEEN
12,ABERDEEN DGD,,6270,ABERDEEN
13,ACACIAVILLE,3370,3370,LADYSMITH
14,ACKERVILLE,1039,1039,WITBANK
15,ACORN,,3610,PINETOWN
16,ACORNHOEK,1360,1360,NELSPRUIT
17,ACTIVIA PARK,,1429,GERMISTON
18,ACTON CABA,5401,,TSOMO
19,ACTON HOMES,3352,,BERGVILLE
20,ACTONVILLE,1506,1501,BENONI
21,ACTONVILLE EXT 2,,1501,BENONI
22,ACTONVILLE UIT 2,,1501,BENONI
23,ACTONVILLE EXT 3,,1501,BENONI
24,ACTONVILLE UIT 3,,1501,BENONI
25,ACTONVILLE EXT 4,,1501,BENONI
26,ACTONVILLE UIT 4,,1501,BENONI
27,ACTONVILLE EXT 5,,1501,BENONI
28,ACTONVILLE UIT 5,,1501,BENONI
29,ACTONVILLE EXT 6,1506,1501,BENONI
30,ACTONVILLE UIT 6,1506,1501,BENONI
31,ADAMAYVIEW,,2571,KLERKSDORP
32,ADAMS MISSION,4100,4110,AMANZIMTOTI
33,ADCOCK VALE,,6001,PORT ELIZABETH
34,ADCOCK VALE EXT,,6045,NEWTON PARK
35,ADCOCK VALE UIT,,6045,NEWTON PARK
36,ADDINGTON,,4001,DURBAN
37,ADDNEY,712,,POLOKWANE
38,ADDO,6105,6105,ADDO
39,ADELAIDE,5760,5760,ADELAIDE
40,ADENDORP,6282,6282,ADENDORP
41,ADKIN'S POST,5170,,TSOLO
42,ADMINISTRATION BLOCK,,1431,KATLEHONG
43,ADMINISTRASIE BLOK,,1431,KATLEHONG
44,ADMIRALS HILL,,7798,STRANDFONTEIN
45,ADRIAANSE,,7490,MATROOSFONTEIN
46,ADVENT,5092,5092,MOUNT FRERE
47,AERORAND,1070,1055,MIDDELBURG
48,AEROTON,2013,2190,JOHANNESBURG
49,AEROVILLE,,5850,SOMERSET EAST
50,AFGHANISTAN EXT 25,2280,2280,EVANDER
51,AFGHANISTAN UIT 25,2280,2280,EVANDER
52,AFGUNS,534,534,ELLISRAS
53,AFRICA,4310,4309,INANDA
54,AFRICAN ENTERPRISE,3294,,PIETERMARITZBURG
55,AGAVIA,,1739,KRUGERSDORP
56,AGGENEYS,8893,,SPRINGBOK
57,AGINCOURT,1368,,XIMHUNGWE
58,AGISANANG,2760,2760,SANNIESHOF
59,AGNES REST,5435,,DORDRECHT
60,AGTER-PAARL,7630,,PAARL
61,AGULHAS,7287,,BREDASDORP
62,AIKEN STREET,4251,,PORT SHEPSTONE
63,AIKENSTRAAT,4251,,PORT SHEPSTONE
64,AIRDLIN,2157,,JOHANNESBURG
65,AIRFIELD,,1501,BENONI
66,AIRLIE,,7806,CONSTANTIA
67,AIRPORT CITY,,7490,MATROOSFONTEIN
68,LUGHAWE STAD,,7490,MATROOSFONTEIN
69,AIRPORT INDUSTRIA,,7490,MATROOSFONTEIN
70,LUGHAWE INDUSTRIA,,7490,MATROOSFONTEIN
71,AKASIA,,601,POTGIETERSRUS
72,AKASIA EXT 2,,182,PRETORIA
